기간,행정구역별,구분,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
2017,합계,계,10124579 ,358848 ,383928 ,394060 ,513886 ,710866 ,804676 ,788419 ,843213 ,797861 ,895452 ,788454 ,822599 ,657191 ,465476 ,357537 ,279394 ,152988 ,70628 ,25948 ,7621 ,5534 
2017,합계,한국인,9857426 ,350277 ,378185 ,390804 ,503852 ,674674 ,772441 ,758616 ,820573 ,778634 ,869355 ,757665 ,795878 ,646571 ,462481 ,356509 ,278800 ,152642 ,70471 ,25877 ,7602 ,5519 
2017,합계,등록외국인,267153 ,8571 ,5743 ,3256 ,10034 ,36192 ,32235 ,29803 ,22640 ,19227 ,26097 ,30789 ,26721 ,10620 ,2995 ,1028 ,594 ,346 ,157 ,71 ,19 ,15 
2017,종로구,계,164257 ,4277 ,5032 ,5509 ,8418 ,14429 ,13590 ,11486 ,11431 ,11637 ,14535 ,13398 ,13608 ,10725 ,7662 ,6605 ,5872 ,3329 ,1612 ,626 ,250 ,226 
2017,종로구,한국인,154770 ,4111 ,4892 ,5413 ,7565 ,11524 ,12383 ,10662 ,10771 ,11112 ,13960 ,12815 ,13042 ,10490 ,7568 ,6581 ,5858 ,3320 ,1602 ,625 ,250 ,226 
2017,종로구,등록외국인,9487 ,166 ,140 ,96 ,853 ,2905 ,1207 ,824 ,660 ,525 ,575 ,583 ,566 ,235 ,94 ,24 ,14 ,9 ,10 ,1 ,-,-
2017,중구,계,134593 ,4426 ,4002 ,3544 ,5229 ,9432 ,11294 ,10933 ,11129 ,9819 ,11296 ,10811 ,11779 ,9515 ,6674 ,5341 ,4576 ,2635 ,1321 ,508 ,163 ,166 
2017,중구,한국인,125709 ,4139 ,3788 ,3379 ,4750 ,7986 ,10116 ,9984 ,10411 ,9206 ,10595 ,9997 ,11025 ,9185 ,6560 ,5294 ,4538 ,2611 ,1313 ,505 ,161 ,166 
2017,중구,등록외국인,8884 ,287 ,214 ,165 ,479 ,1446 ,1178 ,949 ,718 ,613 ,701 ,814 ,754 ,330 ,114 ,47 ,38 ,24 ,8 ,3 ,2 ,-
2017,용산구,계,244444 ,8252 ,8562 ,8426 ,10651 ,15042 ,19675 ,20632 ,21486 ,19459 ,22058 ,18685 ,19099 ,15535 ,10990 ,9014 ,8005 ,4895 ,2395 ,957 ,312 ,314 
2017,용산구,한국인,229161 ,7545 ,7765 ,7864 ,10144 ,13997 ,17996 ,18542 ,19474 ,17812 ,20629 ,17575 ,18271 ,15059 ,10775 ,8919 ,7956 ,4876 ,2388 ,950 ,312 ,312 
2017,용산구,등록외국인,15283 ,707 ,797 ,562 ,507 ,1045 ,1679 ,2090 ,2012 ,1647 ,1429 ,1110 ,828 ,476 ,215 ,95 ,49 ,19 ,7 ,7 ,-,2 
2017,성동구,계,312711 ,12661 ,11113 ,10355 ,13870 ,22749 ,26099 ,26026 ,27863 ,24488 ,26796 ,24345 ,25594 ,19479 ,13397 ,10895 ,8828 ,4907 ,2098 ,698 ,232 ,218 
2017,성동구,한국인,304808 ,12448 ,10989 ,10295 ,13559 ,21011 ,24929 ,25124 ,27272 ,24025 ,26158 ,23660 ,24954 ,19232 ,13325 ,10870 ,8821 ,4900 ,2094 ,697 ,230 ,215 
2017,성동구,등록외국인,7903 ,213 ,124 ,60 ,311 ,1738 ,1170 ,902 ,591 ,463 ,638 ,685 ,640 ,247 ,72 ,25 ,7 ,7 ,4 ,1 ,2 ,3 
